station_id,troncon_id,drainage_area,region_id
092701,,154,
092702,,74100,
092703,,37000,
092704,,96600,
092706,,18600,
092707,,10900,
092708,,19100,
092709,,1860,
092711,,13800,
092715,,13200,
092716,,5720,
092717,,10200,
092718,,13800,
092719,,13800,
092723,,9320,
092729,,20300,
093301,,9560,
093302,,4370,
030220,,610,
093803,,43200,
093804,,4660,
093806,,21000,
093807,,20236,
093808,,7720,
094201,,1390,
094202,,141,
094204,,1220,
094206,,10400,
094207,,10400,
094501,,4560,
094502,,3830,
094701,,1410,
095001,,10400,
095002,,12500,
022505,,267,
096101,,11200,
030206,,4128.1,
097001,,11300,
097301,,13300,
097303,,25.9,
102004,,4120,
102010,,10200,
102015,,4450,
102016,,3860,
102017,,8260,
102018,,3760,
102701,,41700,
102704,,3860,
102705,,5540,
001003,,777000,
103501,,736,
103602,,42700,
103603,,8830,
030302,,1231,
043301,,146920,
103703,,50800,
103704,,15900,
103714,,23600,
103715,,8990,
103801,,2140,
030208,,7930,
104401,,3680,
104801,,35200,
043201,,146000,
104804,,6030,
061004,,3444,
132901,,604,
135201,,179,
