RESUMER ZONES HYDROTEL VERSION;4.1.2.0000

UHRH ID; TYPE; ALTITUDE MOYENNE (m); PENTE MOYENNE; ORIENTATION MOYENNE; NB PIXEL; SUPERFICIE (km2); LONGITUDE; LATITUDE
202;SOUS-BASSIN;346.183746;0.030387;7;849;8.490000;-70.88597;46.44686
203;SOUS-BASSIN;392.979584;0.033122;6;49;0.490000;-70.86564;46.45444
204;SOUS-BASSIN;293.619995;0.036008;5;150;1.500000;-70.91576;46.41261
205;SOUS-BASSIN;262.000000;0.029155;5;1;0.010000;-70.92674;46.41554
206;SOUS-BASSIN;176.571426;0.072593;5;21;0.210000;-70.94773;46.38882
207;SOUS-BASSIN;150.000000;0.002500;8;3;0.030000;-70.95436;46.38717
208;SOUS-BASSIN;149.333328;0.006380;3;3;0.030000;-70.95127;46.38572
209;SOUS-BASSIN;271.010956;0.050827;8;457;4.570000;-70.99081;46.38242
210;SOUS-BASSIN;275.387695;0.077328;3;374;3.740000;-70.98731;46.37231
211;SOUS-BASSIN;339.438202;0.036561;1;267;2.670000;-71.03046;46.37962
212;SOUS-BASSIN;310.980377;0.050643;1;51;0.510000;-71.01648;46.37171
213;SOUS-BASSIN;320.399994;0.023418;1;85;0.850000;-71.02229;46.37495
214;SOUS-BASSIN;317.113647;0.060632;8;44;0.440000;-71.01939;46.36787
215;SOUS-BASSIN;321.000000;0.083429;3;85;0.850000;-71.01315;46.36327
216;SOUS-BASSIN;406.965088;0.054546;8;716;7.160000;-71.06057;46.37253
217;SOUS-BASSIN;405.236053;0.058726;2;466;4.660000;-71.05404;46.35868
218;SOUS-BASSIN;395.055542;0.060369;1;54;0.540000;-71.06043;46.36462
219;SOUS-BASSIN;415.073120;0.050530;1;383;3.830000;-71.05039;46.35176
220;SOUS-BASSIN;416.708160;0.056215;3;466;4.660000;-71.03941;46.34118
221;SOUS-BASSIN;486.537872;0.069614;2;515;5.150000;-71.07061;46.33791
222;SOUS-BASSIN;348.317200;0.055057;1;826;8.260000;-71.00489;46.35157
223;SOUS-BASSIN;336.471497;0.061124;3;1684;16.840000;-70.98418;46.34742
224;SOUS-BASSIN;515.640137;0.061491;8;264;2.640000;-71.06166;46.32033
225;SOUS-BASSIN;509.122040;0.062217;3;254;2.540000;-71.05221;46.31398
226;SOUS-BASSIN;596.574097;0.081155;2;54;0.540000;-71.06550;46.30646
227;SOUS-BASSIN;521.356262;0.062347;2;320;3.200000;-71.04024;46.30691
228;SOUS-BASSIN;470.906250;0.058008;4;64;0.640000;-71.02835;46.31731
229;SOUS-BASSIN;507.746490;0.051291;4;71;0.710000;-71.02470;46.31029
230;SOUS-BASSIN;190.326920;0.069384;2;260;2.600000;-70.93982;46.37113
231;SOUS-BASSIN;224.256409;0.075047;6;390;3.900000;-70.92972;46.38675
232;SOUS-BASSIN;311.495605;0.051472;4;795;7.950000;-70.87592;46.38698
233;SOUS-BASSIN;323.014404;0.040972;7;1666;16.660000;-70.88063;46.40515
234;SOUS-BASSIN;324.000000;0.015812;7;1;0.010000;-70.85751;46.40768
235;SOUS-BASSIN;329.772736;0.022063;6;22;0.220000;-70.85429;46.41031
236;SOUS-BASSIN;362.875000;0.051752;3;40;0.400000;-70.84839;46.39762
237;SOUS-BASSIN;431.739624;0.062071;5;941;9.410000;-70.82677;46.40981
238;SOUS-BASSIN;409.414642;0.076215;4;82;0.820000;-70.83825;46.39488
239;SOUS-BASSIN;174.304352;0.089276;2;23;0.230000;-70.92776;46.36731
240;SOUS-BASSIN;175.656250;0.094605;5;32;0.320000;-70.91980;46.37054
241;SOUS-BASSIN;147.666672;0.005835;3;3;0.030000;-70.91929;46.36376
242;SOUS-BASSIN;280.630493;0.051122;5;387;3.870000;-70.88833;46.37272
243;SOUS-BASSIN;277.709015;0.043274;5;244;2.440000;-70.88733;46.36655
244;SOUS-BASSIN;222.007736;0.097682;1;388;3.880000;-70.93555;46.35450
245;SOUS-BASSIN;184.951935;0.044529;5;541;5.410000;-70.91074;46.35177
246;SOUS-BASSIN;305.666656;0.064476;8;426;4.260000;-70.95873;46.33742
247;SOUS-BASSIN;281.055725;0.035764;3;305;3.050000;-70.95285;46.32917
248;SOUS-BASSIN;301.000000;0.005003;5;2;0.020000;-70.97287;46.32340
249;SOUS-BASSIN;355.954559;0.067779;1;44;0.440000;-70.98427;46.32013
250;SOUS-BASSIN;401.615753;0.068352;1;406;4.060000;-70.99313;46.32621
251;SOUS-BASSIN;391.120178;0.073888;1;233;2.330000;-70.98984;46.31453
252;SOUS-BASSIN;365.608856;0.043035;2;248;2.480000;-70.98448;46.30870
253;SOUS-BASSIN;461.447144;0.082622;1;123;1.230000;-71.00609;46.30957
254;SOUS-BASSIN;246.009735;0.058130;2;411;4.110000;-70.93629;46.32819
255;SOUS-BASSIN;152.536591;0.029156;6;82;0.820000;-70.91490;46.33632
256;SOUS-BASSIN;210.311478;0.079370;4;122;1.220000;-70.89566;46.33603
257;SOUS-BASSIN;195.800003;0.071711;7;110;1.100000;-70.89987;46.34078
258;SOUS-BASSIN;273.316681;0.036756;6;120;1.200000;-70.87930;46.35452
259;SOUS-BASSIN;243.631577;0.039157;8;38;0.380000;-70.89206;46.34837
